Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 29 2020,Carson City,NV,Passenger,1,0,1,8,9,11.11
December 31 2019,Wahkiakum,WA,Passenger,4,4,8,3112,3120,0.26
December 31 2019,Santa Barbara,CA,Passenger,1,0,1,90,91,1.10
December 31 2019,Douglas,WA,Passenger,67,38,105,28844,28949,0.36
November 30 2019,Montgomery,AL,Passenger,0,1,1,36,37,2.70
December 31 2019,Douglas,WA,Truck,0,0,0,12632,12632,0.00
November 30 2019,Pierce,WA,Passenger,2322,1751,4073,557986,562059,0.72
November 30 2019,Moore,NC,Passenger,0,1,1,174,175,0.57
December 31 2019,,,Passenger,8,6,14,2017,2031,0.69
November 30 2019,Pinellas,FL,Passenger,1,1,2,89,91,2.20
December 31 2019,Dupage,IL,Passenger,2,0,2,55,57,3.51
December 31 2019,Shasta,CA,Passenger,1,0,1,40,41,2.44
December 31 2019,Santa Rosa,FL,Passenger,1,0,1,85,86,1.16
December 31 2019,Adams,WA,Truck,0,0,0,5428,5428,0.00
December 31 2019,Sedgwick,KS,Passenger,1,0,1,92,93,1.08
December 31 2019,Snohomish,WA,Passenger,4216,1822,6038,545453,551491,1.09
December 31 2019,Alexandria City,VA,Passenger,4,0,4,141,145,2.76
December 31 2019,Yakima,WA,Truck,0,0,0,61952,61952,0.00
February 29 2020,Clackamas,OR,Passenger,1,1,2,183,185,1.08
November 30 2019,Putnam,TN,Passenger,0,1,1,2,3,33.33
December 31 2019,Solano,CA,Passenger,1,0,1,210,211,0.47
December 31 2019,Fairfax,VA,Passenger,4,3,7,737,744,0.94
December 31 2019,Spokane,WA,Truck,1,0,1,99543,99544,0.00
November 30 2019,Ramsey,MN,Passenger,1,0,1,35,36,2.78
February 29 2020,Cochise,AZ,Passenger,0,1,1,106,107,0.93
January 31 2020,Alexandria City,VA,Passenger,4,0,4,141,145,2.76
November 30 2019,Riverside,CA,Passenger,3,1,4,612,616,0.65
December 31 2019,Stevens,WA,Passenger,34,34,68,32464,32532,0.21
November 30 2019,Pend Oreille,WA,Passenger,8,7,15,9851,9866,0.15
December 31 2019,Thurston,WA,Passenger,1148,758,1906,202275,204181,0.93
February 29 2020,Cumberland,NC,Passenger,0,2,2,487,489,0.41
November 30 2019,San Bernardino,CA,Passenger,0,1,1,453,454,0.22
December 31 2019,Tuolumne,CA,Passenger,0,1,1,9,10,10.00
February 29 2020,Davidson,TN,Passenger,1,0,1,62,63,1.59
November 30 2019,Santa Cruz,CA,Passenger,1,0,1,34,35,2.86
January 31 2020,Boulder,CO,Passenger,1,1,2,43,45,4.44
February 29 2020,Deschutes,OR,Passenger,2,0,2,119,121,1.65
January 31 2020,Brevard,FL,Passenger,0,1,1,74,75,1.33
December 31 2019,Island,WA,Passenger,395,270,665,64713,65378,1.02
November 30 2019,Skagit,WA,Truck,1,0,1,33474,33475,0.00
December 31 2019,Island,WA,Truck,1,0,1,21879,21880,0.00
December 31 2019,Columbia,GA,Passenger,1,1,2,147,149,1.34
December 31 2019,Contra Costa,CA,Passenger,3,0,3,191,194,1.55
November 30 2019,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
January 31 2020,Adams,WA,Truck,0,0,0,5437,5437,0.00
December 31 2019,Jefferson,NY,Passenger,0,2,2,227,229,0.87
January 31 2020,Albemarle,VA,Passenger,1,0,1,30,31,3.23
November 30 2019,Spartanburg,SC,Passenger,0,1,1,34,35,2.86
December 31 2019,Jefferson,WA,Truck,0,0,0,9856,9856,0.00
November 30 2019,Stafford,VA,Passenger,1,0,1,90,91,1.10
November 30 2019,Volusia,FL,Passenger,0,1,1,37,38,2.63
January 31 2020,Columbia,WA,Passenger,3,3,6,2506,2512,0.24
December 31 2019,Juneau,AK,Passenger,0,2,2,24,26,7.69
February 29 2020,Frederick,MD,Passenger,2,1,3,86,89,3.37
January 31 2020,Bay,FL,Passenger,1,0,1,37,38,2.63
November 30 2019,Stevens,WA,Passenger,34,33,67,32459,32526,0.21
December 31 2019,Dekalb,IN,Passenger,1,0,1,1,2,50.00
December 31 2019,Kent,DE,Passenger,0,1,1,70,71,1.41
February 29 2020,Garfield,WA,Truck,0,0,0,992,992,0.00
January 31 2020,Benton,WA,Passenger,348,324,672,137981,138653,0.48
November 30 2019,Washoe,NV,Passenger,1,0,1,84,85,1.18
November 30 2019,Tuolumne,CA,Passenger,0,1,1,9,10,10.00
January 31 2020,Denver,CO,Passenger,1,0,1,111,112,0.89
December 31 2019,Kitsap,WA,Truck,1,0,1,55744,55745,0.00
January 31 2020,Bexar,TX,Passenger,2,6,8,597,605,1.32
February 29 2020,Goochland,VA,Passenger,2,1,3,198,201,1.49
November 30 2019,Wayne,MI,Passenger,0,1,1,60,61,1.64
December 31 2019,Kootenai,ID,Passenger,1,1,2,193,195,1.03
January 31 2020,Douglas,NE,Passenger,0,1,1,50,51,1.96
January 31 2020,Douglas,OR,Passenger,1,0,1,44,45,2.22
December 31 2019,El Paso,CO,Passenger,0,1,1,703,704,0.14
November 30 2019,Westchester,NY,Passenger,0,1,1,28,29,3.45
February 29 2020,Harnett,NC,Passenger,0,1,1,195,196,0.51
November 30 2019,Whitman,WA,Passenger,42,49,91,23119,23210,0.39
February 29 2020,Hidalgo,TX,Passenger,0,1,1,78,79,1.27
January 31 2020,Clark,WA,Truck,0,0,0,83866,83866,0.00
December 31 2019,Frederick,MD,Passenger,2,1,3,86,89,3.37
December 31 2019,Lincoln,WA,Truck,0,0,0,4822,4822,0.00
November 30 2019,Yakima,WA,Truck,0,0,0,61918,61918,0.00
December 31 2019,Los Angeles,CA,Passenger,9,8,17,1023,1040,1.63
January 31 2020,Cowlitz,WA,Passenger,137,126,263,74955,75218,0.35
December 31 2019,Anne Arundel,MD,Passenger,1,3,4,428,432,0.93
January 31 2020,Chelan,WA,Passenger,214,81,295,55766,56061,0.53
February 29 2020,Jefferson,WA,Passenger,240,152,392,25631,26023,1.51
December 31 2019,Greene,MO,Passenger,0,1,1,19,20,5.00
January 31 2020,Cumberland,NC,Passenger,0,2,2,501,503,0.40
December 31 2019,Asotin,WA,Passenger,15,10,25,13006,13031,0.19
February 29 2020,Kent,DE,Passenger,0,1,1,67,68,1.47
January 31 2020,Guadalupe,TX,Passenger,2,0,2,54,56,3.57
January 31 2020,Clallam,WA,Passenger,216,164,380,51797,52177,0.73
December 31 2019,Asotin,WA,Truck,0,0,0,6930,6930,0.00
December 31 2019,Guilford,NC,Passenger,1,0,1,30,31,3.23
January 31 2020,Clay,FL,Passenger,0,1,1,86,87,1.15
February 29 2020,Kitsap,WA,Passenger,1357,694,2051,185419,187470,1.09
February 29 2020,Kittitas,WA,Truck,0,0,0,15065,15065,0.00
December 31 2019,Harris,TX,Passenger,1,0,1,224,225,0.44
December 31 2019,Montgomery,MD,Passenger,0,4,4,266,270,1.48
February 29 2020,Kootenai,ID,Passenger,1,1,2,194,196,1.02
December 31 2019,Honolulu,HI,Passenger,3,0,3,448,451,0.67
January 31 2020,Dupage,IL,Passenger,2,0,2,55,57,3.51
